a,b,c,d,e,f,g,h,i,FE
2.00,4.00,6.00,0.00,0.00,2.00,2.00,1.00,0.00,41.52
2.00,4.00,6.00,0.00,0.00,2.00,2.00,1.00,0.00,41.32
2.50,5.00,5.00,1.00,0.00,2.00,2.00,1.00,0.00,38.40
2.40,4.00,5.00,1.00,0.00,2.00,2.00,1.00,0.00,42.30
3.50,6.00,5.00,1.00,0.00,2.00,2.00,1.00,1.00,37.60
2.00,4.00,1.00,0.00,0.00,2.00,2.00,1.00,1.00,42.77
2.00,4.00,6.00,1.00,0.00,2.00,2.00,1.00,1.00,42.58
6.80,8.00,6.00,0.00,0.00,1.00,1.00,0.00,0.00,21.01
3.00,6.00,6.00,1.00,0.00,2.00,2.00,1.00,0.00,36.15
3.00,6.00,6.00,1.00,0.00,2.00,2.00,1.00,0.00,34.73
1.60,4.00,4.00,1.00,0.00,2.00,2.00,1.00,0.00,47.90
2.40,4.00,4.00,1.00,0.00,2.00,2.00,1.00,0.00,40.10
3.50,6.00,5.00,1.00,0.00,2.00,2.00,0.00,0.00,34.70
6.10,8.00,6.00,0.00,0.00,1.00,1.00,0.00,0.00,30.10
2.00,4.00,5.00,0.00,0.00,2.00,2.00,0.00,0.00,49.30
2.40,4.00,5.00,1.00,0.00,2.00,2.00,1.00,1.00,43.30
3.50,6.00,5.00,1.00,0.00,2.00,2.00,1.00,1.00,39.90
1.30,4.00,1.00,1.00,0.00,1.00,1.00,1.00,1.00,65.00
1.60,4.00,4.00,1.00,0.00,2.00,2.00,1.00,0.00,50.40
2.00,4.00,4.00,1.00,0.00,2.00,2.00,1.00,0.00,47.30
2.00,4.00,5.00,0.00,0.00,2.00,2.00,1.00,0.00,47.40
2.40,4.00,6.00,0.00,0.00,2.00,2.00,1.00,0.00,44.60
3.50,6.00,1.00,0.00,0.00,2.00,2.00,1.00,0.00,35.35
2.40,4.00,1.00,0.00,0.00,2.00,2.00,1.00,0.00,47.41
2.50,4.00,5.00,1.00,0.00,2.00,2.00,1.00,0.00,40.89
3.00,6.00,7.00,1.00,0.00,2.00,2.00,1.00,0.00,34.90
6.30,8.00,7.00,1.00,0.00,2.00,2.00,1.00,0.00,24.70
2.00,4.00,5.00,0.00,0.00,2.00,2.00,1.00,0.00,42.94
1.60,4.00,5.00,0.00,0.00,2.00,2.00,1.00,0.00,48.90
2.40,4.00,4.00,1.00,0.00,2.00,2.00,1.00,0.00,42.60
3.60,6.00,6.00,1.00,0.00,2.00,2.00,1.00,0.00,35.60
6.70,12.00,6.00,1.00,0.00,2.00,2.00,1.00,0.00,24.20
2.00,4.00,5.00,1.00,0.00,2.00,2.00,0.00,0.00,37.10
2.00,4.00,6.00,0.00,0.00,2.00,2.00,0.00,0.00,43.10
2.50,4.00,4.00,1.00,0.00,2.00,2.00,0.00,1.00,35.92
2.00,4.00,1.00,1.00,0.00,2.00,2.00,1.00,0.00,41.57
1.80,4.00,5.00,0.00,0.00,2.00,2.00,1.00,0.00,50.00
2.00,4.00,6.00,0.00,0.00,2.00,2.00,1.00,0.00,43.54
2.00,4.00,6.00,0.00,0.00,2.00,2.00,1.00,0.00,41.52
2.00,4.00,6.00,0.00,0.00,2.00,2.00,0.00,0.00,58.54
2.50,5.00,6.00,0.00,0.00,2.00,2.00,1.00,0.00,40.02
2.50,5.00,6.00,0.00,0.00,2.00,2.00,1.00,0.00,40.40
2.40,5.00,5.00,0.00,0.00,2.00,2.00,1.00,0.00,39.30
3.50,6.00,5.00,1.00,0.00,2.00,2.00,1.00,1.00,36.80
3.70,6.00,6.00,0.00,0.00,2.00,2.00,1.00,1.00,34.40
4.20,8.00,6.00,1.00,0.00,2.00,2.00,1.00,0.00,31.50
5.20,10.00,6.00,0.00,0.00,2.00,2.00,1.00,0.00,26.70
6.00,12.00,6.00,1.00,0.00,2.00,2.00,1.00,0.00,23.27
3.00,6.00,6.00,1.00,0.00,2.00,2.00,1.00,1.00,38.17
5.00,10.00,6.00,1.00,0.00,2.00,2.00,1.00,0.00,23.23
2.40,4.00,6.00,1.00,0.00,2.00,2.00,1.00,0.00,41.70
3.60,6.00,6.00,1.00,0.00,2.00,2.00,1.00,0.00,38.10
6.20,8.00,6.00,0.00,0.00,1.00,1.00,0.00,0.00,26.30
4.60,8.00,6.00,1.00,0.00,2.00,2.00,0.00,0.00,30.30
2.40,4.00,4.00,1.00,0.00,2.00,2.00,1.00,0.00,42.80
2.40,4.00,6.00,1.00,0.00,2.00,2.00,1.00,0.00,46.90
2.40,4.00,4.00,1.00,0.00,2.00,2.00,1.00,0.00,42.60
3.50,6.00,4.00,1.00,0.00,1.00,1.00,1.00,0.00,41.20
2.40,4.00,4.00,1.00,0.00,2.00,2.00,1.00,0.00,48.10
2.70,6.00,4.00,1.00,0.00,2.00,2.00,0.00,0.00,38.30
3.00,6.00,6.00,1.00,1.00,2.00,2.00,1.00,0.00,37.90
3.50,6.00,6.00,1.00,1.00,2.00,2.00,1.00,0.00,37.40
2.00,4.00,4.00,1.00,0.00,2.00,2.00,1.00,0.00,47.70
2.40,4.00,5.00,0.00,0.00,2.00,2.00,1.00,0.00,44.60
4.60,8.00,8.00,1.00,0.00,2.00,2.00,1.00,0.00,34.05
5.00,8.00,1.00,0.00,0.00,2.00,2.00,1.00,0.00,30.30
3.00,6.00,6.00,1.00,1.00,2.00,2.00,1.00,0.00,37.90
2.50,4.00,1.00,0.00,0.00,2.00,2.00,1.00,0.00,51.60
3.50,6.00,6.00,1.00,0.00,2.00,2.00,1.00,0.00,33.50
6.30,8.00,7.00,1.00,0.00,2.00,2.00,1.00,0.00,27.12
2.50,4.00,1.00,1.00,0.00,2.00,2.00,1.00,0.00,45.67
3.50,6.00,1.00,1.00,0.00,2.00,2.00,1.00,0.00,36.41
1.60,4.00,5.00,0.00,0.00,2.00,2.00,1.00,0.00,47.30
2.40,4.00,6.00,1.00,0.00,2.00,2.00,1.00,0.00,46.90
2.40,4.00,6.00,1.00,0.00,2.00,2.00,1.00,0.00,46.80
2.50,4.00,6.00,0.00,0.00,2.00,2.00,0.00,1.00,37.06
3.60,6.00,5.00,1.00,0.00,2.00,2.00,0.00,1.00,34.27
2.50,4.00,6.00,0.00,0.00,2.00,2.00,1.00,0.00,46.80
1.80,4.00,1.00,0.00,0.00,2.00,2.00,1.00,0.00,69.64
3.00,6.00,6.00,1.00,0.00,2.00,2.00,1.00,0.00,32.00
3.20,6.00,6.00,1.00,0.00,2.00,2.00,1.00,0.00,36.40
3.00,6.00,8.00,1.00,0.00,2.00,2.00,1.00,1.00,39.49
4.40,8.00,8.00,1.00,0.00,2.00,2.00,1.00,0.00,30.95
4.40,8.00,8.00,1.00,0.00,2.00,2.00,1.00,0.00,30.56
4.40,8.00,6.00,1.00,0.00,2.00,2.00,1.00,0.00,30.17
6.00,12.00,8.00,1.00,0.00,2.00,2.00,1.00,0.00,26.75
3.90,6.00,4.00,1.00,0.00,1.00,1.00,1.00,0.00,36.60
3.90,6.00,4.00,1.00,0.00,1.00,1.00,1.00,0.00,37.30
2.70,6.00,4.00,1.00,0.00,2.00,2.00,0.00,0.00,35.70
5.70,8.00,5.00,1.00,0.00,1.00,1.00,1.00,0.00,34.50
6.10,8.00,5.00,1.00,0.00,1.00,1.00,0.00,0.00,26.00
5.70,8.00,5.00,1.00,0.00,1.00,1.00,1.00,0.00,31.90
3.50,6.00,6.00,1.00,1.00,2.00,2.00,1.00,0.00,34.90
3.50,6.00,6.00,1.00,1.00,2.00,2.00,1.00,0.00,34.70
3.30,6.00,5.00,1.00,0.00,2.00,2.00,1.00,0.00,36.20
2.40,4.00,5.00,0.00,0.00,2.00,2.00,1.00,0.00,44.80
3.50,6.00,7.00,1.00,0.00,2.00,2.00,1.00,0.00,34.20
4.60,8.00,4.00,1.00,1.00,1.00,1.00,0.00,0.00,33.31
4.70,8.00,6.00,0.00,0.00,2.00,2.00,1.00,0.00,25.51
5.50,8.00,7.00,1.00,0.00,2.00,2.00,1.00,0.00,32.00
5.50,12.00,5.00,1.00,0.00,2.00,1.00,1.00,0.00,23.90
4.80,8.00,7.00,1.00,0.00,2.00,2.00,1.00,1.00,33.26
4.80,8.00,7.00,1.00,0.00,2.00,2.00,1.00,1.00,33.26
3.50,6.00,6.00,1.00,0.00,2.00,2.00,1.00,0.00,39.80
2.00,4.00,6.00,1.00,0.00,2.00,2.00,1.00,1.00,37.80
3.00,6.00,6.00,1.00,0.00,2.00,2.00,1.00,1.00,36.80
1.50,4.00,5.00,0.00,0.00,2.00,2.00,1.00,0.00,46.26
1.50,4.00,5.00,1.00,0.00,2.00,2.00,1.00,0.00,47.40
2.00,4.00,5.00,0.00,0.00,2.00,2.00,1.00,0.00,43.50
3.50,6.00,5.00,1.00,0.00,2.00,2.00,1.00,0.00,33.30
2.00,4.00,5.00,0.00,0.00,2.00,2.00,1.00,0.00,42.80
2.40,4.00,5.00,0.00,0.00,2.00,2.00,1.00,0.00,37.22
1.80,4.00,6.00,0.00,0.00,2.00,2.00,1.00,0.00,41.80
2.00,4.00,6.00,1.00,0.00,2.00,2.00,0.00,0.00,38.46
2.00,4.00,5.00,1.00,0.00,2.00,2.00,0.00,0.00,38.20
2.50,4.00,5.00,0.00,0.00,2.00,2.00,0.00,1.00,37.07
2.50,4.00,5.00,0.00,0.00,2.00,2.00,1.00,0.00,34.14
2.50,4.00,4.00,1.00,0.00,2.00,2.00,1.00,0.00,32.91
2.00,4.00,6.00,0.00,0.00,2.00,2.00,1.00,0.00,42.35
2.50,5.00,5.00,1.00,0.00,2.00,2.00,1.00,0.00,37.60
2.50,5.00,6.00,0.00,0.00,2.00,2.00,1.00,0.00,37.50
2.50,5.00,6.00,0.00,0.00,2.00,2.00,1.00,0.00,40.40
2.50,5.00,5.00,1.00,0.00,2.00,2.00,1.00,0.00,40.60
3.00,6.00,6.00,1.00,0.00,2.00,2.00,1.00,0.00,33.72
2.90,4.00,4.00,1.00,0.00,2.00,2.00,0.00,0.00,34.30
2.30,4.00,5.00,0.00,1.00,2.00,2.00,0.00,0.00,37.70
2.90,4.00,4.00,1.00,0.00,2.00,2.00,0.00,0.00,34.18
3.70,5.00,4.00,1.00,0.00,2.00,2.00,0.00,0.00,31.85
2.90,4.00,4.00,1.00,0.00,2.00,2.00,0.00,0.00,34.30
3.70,5.00,4.00,1.00,0.00,2.00,2.00,0.00,0.00,31.60
5.30,8.00,4.00,1.00,0.00,1.00,1.00,1.00,0.00,27.90
4.00,6.00,5.00,1.00,0.00,2.00,2.00,1.00,0.00,27.74
4.00,6.00,6.00,0.00,0.00,2.00,2.00,1.00,0.00,27.59
2.50,4.00,5.00,1.00,0.00,2.00,2.00,1.00,0.00,30.20
4.00,6.00,5.00,1.00,0.00,2.00,2.00,1.00,0.00,27.79
2.70,4.00,4.00,1.00,0.00,2.00,2.00,1.00,0.00,35.43
4.00,6.00,6.00,0.00,0.00,2.00,2.00,1.00,0.00,25.30
3.70,5.00,4.00,1.00,0.00,2.00,2.00,0.00,0.00,31.41
2.90,4.00,5.00,0.00,0.00,2.00,2.00,0.00,0.00,34.10
3.70,5.00,4.00,1.00,0.00,2.00,2.00,0.00,0.00,29.80
5.30,8.00,6.00,1.00,0.00,1.00,1.00,1.00,0.00,29.37
6.00,8.00,1.00,0.00,0.00,1.00,1.00,1.00,0.00,30.50
5.40,8.00,6.00,1.00,0.00,2.00,1.00,0.00,0.00,27.04
4.60,8.00,4.00,1.00,0.00,1.00,1.00,0.00,0.00,26.78
4.30,6.00,4.00,1.00,0.00,1.00,1.00,0.00,0.00,24.19
5.30,8.00,6.00,1.00,0.00,1.00,1.00,1.00,0.00,29.02
4.70,8.00,5.00,1.00,0.00,1.00,1.00,1.00,0.00,24.50
5.70,8.00,5.00,1.00,0.00,1.00,1.00,1.00,0.00,25.40
4.60,8.00,6.00,1.00,1.00,2.00,1.00,0.00,0.00,26.66
4.60,8.00,4.00,1.00,0.00,1.00,1.00,0.00,0.00,25.23
5.30,8.00,6.00,1.00,0.00,1.00,1.00,1.00,0.00,29.02
3.70,5.00,5.00,0.00,0.00,2.00,2.00,0.00,0.00,25.20
5.70,8.00,6.00,1.00,0.00,2.00,2.00,1.00,0.00,23.43
5.30,8.00,4.00,1.00,0.00,1.00,1.00,1.00,0.00,23.30
5.30,8.00,4.00,1.00,0.00,1.00,1.00,1.00,0.00,22.76
5.30,8.00,4.00,1.00,0.00,1.00,1.00,1.00,0.00,22.90
5.30,8.00,4.00,1.00,0.00,1.00,1.00,1.00,0.00,23.30
3.80,6.00,6.00,1.00,0.00,1.00,1.00,0.00,0.00,31.90
3.50,6.00,5.00,1.00,0.00,2.00,2.00,1.00,0.00,34.00
3.50,6.00,5.00,1.00,0.00,2.00,2.00,1.00,0.00,29.20
2.30,4.00,5.00,1.00,0.00,2.00,2.00,1.00,1.00,34.40
6.00,8.00,1.00,0.00,0.00,1.00,1.00,1.00,0.00,30.50
6.20,8.00,6.00,1.00,0.00,1.00,1.00,1.00,0.00,26.00
2.40,4.00,4.00,1.00,0.00,2.00,2.00,1.00,0.00,41.50
2.20,4.00,4.00,1.00,0.00,2.00,2.00,1.00,0.00,42.40
2.40,4.00,5.00,0.00,0.00,2.00,2.00,1.00,0.00,41.90
2.40,4.00,4.00,1.00,0.00,2.00,2.00,1.00,0.00,41.50
3.60,6.00,6.00,1.00,0.00,2.00,2.00,1.00,0.00,33.00
2.40,4.00,4.00,1.00,0.00,2.00,2.00,1.00,0.00,35.00
3.50,6.00,6.00,1.00,0.00,2.00,2.00,0.00,0.00,33.20
2.50,4.00,5.00,0.00,0.00,2.00,2.00,1.00,0.00,38.60
3.00,6.00,6.00,1.00,0.00,2.00,2.00,1.00,0.00,34.80
2.50,4.00,1.00,0.00,0.00,2.00,2.00,1.00,0.00,42.90
6.20,8.00,6.00,1.00,0.00,1.00,1.00,1.00,0.00,28.40
2.40,4.00,5.00,1.00,0.00,2.00,2.00,1.00,1.00,34.30
3.50,6.00,5.00,1.00,0.00,2.00,2.00,1.00,1.00,31.95
2.40,4.00,6.00,0.00,0.00,2.00,2.00,1.00,0.00,36.70
2.40,4.00,6.00,0.00,0.00,2.00,2.00,1.00,0.00,41.60
2.40,4.00,6.00,1.00,0.00,2.00,2.00,1.00,0.00,43.23
3.50,6.00,7.00,1.00,0.00,2.00,2.00,1.00,0.00,31.50
5.70,8.00,5.00,1.00,0.00,1.00,1.00,1.00,0.00,27.10
2.00,4.00,1.00,1.00,0.00,2.00,2.00,1.00,0.00,38.00
3.70,6.00,4.00,1.00,0.00,1.00,1.00,0.00,0.00,30.50
2.50,4.00,5.00,1.00,0.00,2.00,2.00,1.00,0.00,38.60
3.50,6.00,7.00,1.00,0.00,2.00,2.00,1.00,0.00,30.60
3.50,6.00,7.00,1.00,0.00,2.00,2.00,1.00,0.00,28.70
2.50,4.00,1.00,0.00,0.00,2.00,2.00,1.00,0.00,42.90
4.60,8.00,6.00,1.00,1.00,2.00,1.00,0.00,0.00,29.00
2.40,4.00,1.00,0.00,0.00,2.00,2.00,1.00,0.00,37.98
3.00,6.00,6.00,1.00,0.00,2.00,2.00,0.00,1.00,35.29
3.50,6.00,1.00,1.00,0.00,2.00,2.00,1.00,0.00,32.41
4.00,6.00,5.00,1.00,0.00,2.00,2.00,1.00,0.00,30.94
2.40,4.00,4.00,1.00,0.00,2.00,2.00,1.00,0.00,37.00
3.20,6.00,5.00,1.00,0.00,2.00,2.00,1.00,0.00,33.76
4.00,6.00,5.00,1.00,0.00,2.00,2.00,1.00,0.00,31.40
2.50,4.00,4.00,1.00,0.00,2.00,2.00,1.00,0.00,39.70
4.60,8.00,6.00,1.00,0.00,2.00,2.00,1.00,0.00,26.55
2.00,4.00,6.00,0.00,0.00,2.00,2.00,1.00,0.00,36.20
3.20,6.00,6.00,1.00,0.00,2.00,2.00,1.00,0.00,36.40
3.20,6.00,6.00,0.00,0.00,2.00,2.00,1.00,1.00,30.70
3.00,6.00,6.00,0.00,0.00,2.00,2.00,0.00,0.00,33.20
3.60,6.00,6.00,0.00,0.00,2.00,2.00,1.00,0.00,26.11
3.00,6.00,6.00,0.00,0.00,2.00,2.00,1.00,1.00,33.60
3.00,6.00,6.00,1.00,0.00,2.00,2.00,1.00,1.00,29.60
4.80,8.00,6.00,1.00,0.00,2.00,2.00,1.00,1.00,26.79
4.40,8.00,6.00,1.00,0.00,2.00,2.00,1.00,0.00,23.15
4.40,8.00,6.00,1.00,0.00,2.00,2.00,1.00,0.00,23.15
3.60,6.00,6.00,1.00,0.00,2.00,2.00,1.00,0.00,30.90
2.40,4.00,6.00,1.00,0.00,2.00,2.00,1.00,0.00,40.30
3.70,6.00,4.00,1.00,0.00,1.00,1.00,0.00,0.00,28.50
4.00,6.00,5.00,1.00,1.00,1.00,1.00,0.00,0.00,25.75
3.50,6.00,6.00,1.00,1.00,2.00,2.00,0.00,0.00,30.38
3.60,6.00,6.00,1.00,0.00,2.00,2.00,1.00,0.00,31.60
6.20,8.00,6.00,1.00,0.00,1.00,1.00,1.00,0.00,27.40
3.00,6.00,6.00,1.00,0.00,2.00,2.00,1.00,0.00,33.10
3.50,6.00,6.00,1.00,0.00,2.00,2.00,1.00,0.00,36.00
2.40,4.00,6.00,0.00,0.00,2.00,2.00,1.00,0.00,38.60
3.50,6.00,7.00,1.00,0.00,2.00,2.00,1.00,0.00,29.77
5.00,8.00,7.00,1.00,0.00,2.00,2.00,1.00,1.00,27.25
5.60,8.00,5.00,1.00,0.00,2.00,2.00,1.00,0.00,23.60
5.70,8.00,5.00,1.00,0.00,1.00,1.00,1.00,0.00,26.00
2.40,4.00,5.00,0.00,0.00,2.00,2.00,1.00,0.00,38.60
5.70,8.00,5.00,1.00,0.00,1.00,1.00,1.00,0.00,26.00
2.40,4.00,1.00,1.00,0.00,2.00,2.00,1.00,0.00,33.60
3.80,6.00,6.00,1.00,0.00,1.00,1.00,0.00,0.00,26.16
4.60,8.00,6.00,1.00,0.00,2.00,2.00,1.00,0.00,28.40
2.00,4.00,5.00,0.00,0.00,2.00,2.00,1.00,0.00,33.40
2.70,6.00,4.00,1.00,0.00,2.00,2.00,0.00,0.00,31.30
5.00,8.00,6.00,1.00,0.00,2.00,2.00,1.00,1.00,23.82
4.60,8.00,6.00,1.00,0.00,2.00,2.00,1.00,0.00,28.30
5.70,8.00,6.00,1.00,0.00,2.00,2.00,1.00,0.00,24.15
3.50,6.00,6.00,1.00,0.00,2.00,2.00,1.00,0.00,33.79
3.50,6.00,6.00,1.00,1.00,2.00,2.00,0.00,0.00,31.40
3.70,6.00,6.00,1.00,0.00,2.00,2.00,1.00,0.00,28.70
5.50,8.00,7.00,1.00,0.00,2.00,2.00,1.00,0.00,20.10
3.00,6.00,7.00,1.00,0.00,2.00,2.00,1.00,0.00,31.50
4.70,8.00,7.00,1.00,0.00,2.00,2.00,1.00,0.00,23.80
3.50,6.00,7.00,1.00,0.00,2.00,2.00,1.00,0.00,28.67
3.50,6.00,7.00,1.00,0.00,2.00,2.00,1.00,0.00,27.30
5.50,8.00,7.00,1.00,0.00,2.00,2.00,1.00,0.00,24.60
3.50,6.00,7.00,1.00,0.00,2.00,2.00,1.00,0.00,25.80
3.00,6.00,7.00,1.00,0.00,2.00,2.00,1.00,0.00,33.30
2.50,4.00,6.00,1.00,0.00,2.00,2.00,1.00,0.00,36.03
3.00,6.00,6.00,1.00,0.00,2.00,2.00,1.00,0.00,31.39
4.60,8.00,6.00,1.00,1.00,2.00,1.00,0.00,0.00,26.66
2.40,4.00,1.00,0.00,0.00,2.00,2.00,1.00,0.00,35.24
3.00,6.00,6.00,1.00,0.00,2.00,2.00,0.00,1.00,32.95
3.80,6.00,4.00,1.00,0.00,2.00,2.00,0.00,1.00,26.90
5.60,8.00,5.00,1.00,0.00,2.00,2.00,1.00,0.00,24.15
4.00,6.00,5.00,1.00,0.00,2.00,2.00,1.00,0.00,27.23
5.60,8.00,5.00,1.00,0.00,2.00,2.00,1.00,0.00,24.30
4.80,8.00,6.00,1.00,0.00,2.00,2.00,1.00,1.00,25.56
4.80,8.00,6.00,1.00,0.00,2.00,2.00,1.00,1.00,26.39
4.80,8.00,6.00,1.00,0.00,2.00,2.00,1.00,1.00,25.78
2.50,4.00,4.00,1.00,0.00,2.00,2.00,0.00,1.00,35.92
2.50,4.00,6.00,0.00,0.00,2.00,2.00,0.00,1.00,37.06
3.60,6.00,5.00,1.00,0.00,2.00,2.00,0.00,1.00,34.27
4.00,6.00,5.00,1.00,0.00,2.00,2.00,1.00,0.00,28.92
4.00,6.00,6.00,0.00,0.00,2.00,2.00,1.00,0.00,26.81
3.50,6.00,5.00,1.00,0.00,2.00,2.00,1.00,0.00,31.30
3.50,6.00,5.00,1.00,0.00,2.00,2.00,1.00,0.00,35.75
2.70,4.00,6.00,1.00,0.00,2.00,2.00,1.00,0.00,38.70
3.20,6.00,6.00,1.00,0.00,2.00,2.00,1.00,0.00,30.49
4.40,8.00,6.00,1.00,0.00,2.00,2.00,1.00,0.00,26.20
